Community Code,Community,County Code,County Description,Year,Sample Date,Beach Name,Beach Type Description,Organism,Indicator Level,Violation
242,Provincetown,001,Barnstable,2024,2024-07-22 00:00:00,333 Commercial Street,Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-08-20 00:00:00,333 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-26 00:00:00,333 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-12 00:00:00,333 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-10 00:00:00,333 Commercial Street,Marine,Enterococci,42,No
242,Provincetown,001,Barnstable,2024,2024-07-01 00:00:00,333 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-05 00:00:00,333 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-10 00:00:00,333 Commercial Street,Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-08-19 00:00:00,333 Commercial Street,Marine,Enterococci,124,Yes
242,Provincetown,001,Barnstable,2024,2024-06-17 00:00:00,333 Commercial Street,Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-06-24 00:00:00,333 Commercial Street,Marine,Enterococci,31,No
242,Provincetown,001,Barnstable,2024,2024-07-29 00:00:00,333 Commercial Street,Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-07-15 00:00:00,333 Commercial Street,Marine,Enterococci,31,No
242,Provincetown,001,Barnstable,2024,2024-06-03 00:00:00,333 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-10 00:00:00,451 Commercial Street,Marine,Enterococci,64,No
242,Provincetown,001,Barnstable,2024,2024-08-19 00:00:00,451 Commercial Street,Marine,Enterococci,42,No
242,Provincetown,001,Barnstable,2024,2024-08-26 00:00:00,451 Commercial Street,Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-06-03 00:00:00,451 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-01 00:00:00,451 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-10 00:00:00,451 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-12 00:00:00,451 Commercial Street,Marine,Enterococci,31,No
242,Provincetown,001,Barnstable,2024,2024-07-15 00:00:00,451 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-17 00:00:00,451 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-24 00:00:00,451 Commercial Street,Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-07-22 00:00:00,451 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-05 00:00:00,451 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-29 00:00:00,451 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-20 00:00:00,593 Commercial Street,Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-08-12 00:00:00,593 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-10 00:00:00,593 Commercial Street,Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-08-05 00:00:00,593 Commercial Street,Marine,Enterococci,5,No
