Year,Jurisdiction Name,Jurisdiction,# ofBeaches,# ofBeach ActBeaches,# ofBeach ActProgramBeaches,"# ofBeach ActNon-ProgramBeaches(*B, T4)",# ofBeach ActProgramBeachesMonitored,# ofBeach ActProgramBeachesNot Monitored,# ofBeach ActNon-ProgramBeachesMonitored,Sum ofBeachLength(Mi),# ofDormantBeaches,Sum ofBeachLengthMonitored(Mi),# ofSS Days,Swim SeasonStart Date,Swim SeasonEnd Date,# ofSS Daysat ProgramBeaches
2023,ALABAMA,AL,28,24,24,4,24,0,2,28.29,0,31.74,4190,05-01-2023,09-30-2023,3800
2024,ALABAMA,AL,28,24,24,4,24,0,2,28.29,0,31.74,4190,05-01-2024,09-30-2024,3800
2025,ALABAMA,AL,28,24,24,4,24,0,2,28.29,0,31.74,4190,05-01-2025,09-30-2025,3800
2023,ALASKA,AK,218,208,9,209,9,0,0,2.79,2,2.79,5410,05-15-2023,09-01-2023,960
2024,ALASKA,AK,218,209,10,208,10,0,0,3.09,0,3.09,5594,05-14-2024,09-01-2024,1114
2025,ALASKA,AK,218,211,17,201,17,0,0,10.37,0,10.37,6519,05-15-2025,09-15-2025,2091
2023,AMERICAN SAMOA,AS,50,48,48,2,48,0,2,7.296,0,7.6,18250,01-01-2023,12-31-2023,17520
2024,AMERICAN SAMOA,AS,50,48,48,2,48,0,2,7.296,0,7.6,18250,,,17520
2025,AMERICAN SAMOA,AS,50,48,48,2,48,0,2,7.296,0,7.6,18250,,,17520
2023,BAD RIVER BAND,BR,15,15,15,0,15,0,0,27.25,0,27.25,1453,05-28-2023,09-02-2023,1453
2024,BAD RIVER BAND,BR,15,15,15,0,15,0,0,27.25,0,27.25,1465,05-28-2024,09-02-2024,1465
2025,BAD RIVER BAND,BR,15,15,15,0,15,0,0,27.25,0,27.25,1465,,,1465
2023,CALIFORNIA,CA,584,251,250,334,250,0,193,326.552,0,786.444,143191,01-01-2023,10-31-2023,92746
2024,CALIFORNIA,CA,584,253,252,332,252,0,144,323.03,0,743.227,147388,01-01-2024,09-02-2024,110853
2025,CALIFORNIA,CA,584,253,252,332,252,0,144,323.03,0,743.227,147388,,,110853
2023,CONNECTICUT,CT,125,72,72,53,72,0,4,15.361,1,19.073,12601,05-29-2023,09-04-2023,7252
2024,CONNECTICUT,CT,125,72,72,53,71,1,4,15.361,1,19.024,12601,05-27-2024,09-02-2024,7252
2025,CONNECTICUT,CT,125,72,72,53,71,1,4,15.361,0,19.024,12601,,,7252
2023,DELAWARE,DE,31,22,22,9,22,0,5,20.01,0,27.352,3780,05-15-2023,09-18-2023,3141
2024,DELAWARE,DE,31,22,22,9,22,0,5,20.01,0,27.352,4027,05-13-2024,09-24-2024,3388
2025,DELAWARE,DE,31,22,22,9,22,0,5,20.01,0,27.352,4027,,,3388
2023,FLORIDA,FL,643,576,264,379,264,0,0,519.493,0,519.493,106713,01-01-2023,01-01-2023,83292
2024,FLORIDA,FL,643,576,243,400,243,0,0,485.602,0,485.602,99768,01-01-2024,01-01-2024,77442
2025,FLORIDA,FL,643,576,243,400,243,0,0,485.602,0,485.602,99768,,,77442
2023,GEORGIA,GA,42,38,28,14,28,0,0,37.45,0,37.45,6897,01-01-2023,01-01-2023,5964
2024,GEORGIA,GA,42,38,28,14,28,0,0,37.45,0,37.45,6324,04-01-2024,10-31-2024,5964
2025,GEORGIA,GA,42,38,28,14,28,0,0,37.45,0,37.45,6537,01-01-2024,01-01-2024,5964
2023,GRAND PORTAGE,GP,17,16,16,1,16,0,0,2.288,0,2.288,1829,06-01-2023,09-30-2023,1829
2024,GRAND PORTAGE,GP,17,16,16,1,16,0,0,2.288,0,2.288,1927,06-01-2024,09-30-2024,1927
2025,GRAND PORTAGE,GP,17,16,16,1,16,0,0,2.288,0,2.288,1927,,,1927
2023,GUAM,GU,33,31,31,2,31,0,0,15.66,1,15.66,12045,01-01-2023,12-31-2023,11315
2024,GUAM,GU,33,31,31,2,31,0,0,15.66,0,15.66,12045,01-01-2024,12-31-2024,11315
2025,GUAM,GU,33,31,31,2,31,0,0,15.66,0,15.66,12045,01-01-2025,12-31-2025,11315
2023,HAWAII,HI,479,408,402,77,169,233,10,285.43,0,115.81,174395,01-01-2023,12-31-2023,149650
2024,HAWAII,HI,479,408,402,77,169,233,10,285.43,0,115.34,174395,01-01-2024,12-31-2024,149650
2025,HAWAII,HI,479,408,402,77,169,233,10,285.43,0,115.34,174395,,,149650
2023,ILLINOIS,IL,75,57,53,22,48,5,5,16.316,0,15.726,8900,,,6829
2024,ILLINOIS,IL,75,57,53,22,48,5,5,16.316,0,15.726,8900,,,6829
2025,ILLINOIS,IL,75,57,53,22,48,5,5,16.316,0,15.726,8900,,,6829
2023,INDIANA,IN,38,24,22,16,22,0,15,23.767,2,32.44,3803,05-22-2023,09-04-2023,2201
2024,INDIANA,IN,38,24,22,16,22,0,15,23.767,0,32.44,3855,05-18-2024,09-01-2024,2248
2025,INDIANA,IN,38,24,22,16,22,0,15,23.767,0,32.44,3855,,,2248
2023,LOUISIANA,LA,31,24,23,8,23,0,1,19.9,0,20.57,5490,05-01-2023,05-01-2023,5307
2024,LOUISIANA,LA,31,24,23,8,23,0,1,19.9,0,20.57,5490,05-01-2024,05-01-2024,5307
2025,LOUISIANA,LA,31,24,23,8,23,0,1,19.9,0,20.57,5520,05-01-2025,05-31-2025,5307
2023,MAINE,ME,117,105,0,117,0,0,68,0,0,33.76,8281,05-29-2023,09-04-2023,
2024,MAINE,ME,117,105,65,52,65,0,2,29.29,0,31.86,7098,05-27-2024,05-30-2024,6370
2025,MAINE,ME,117,105,65,52,65,0,2,29.29,0,31.86,7098,,,6370
2023,MAKAH,MK,15,13,5,10,5,0,0,6.022,0,6.022,1825,01-01-2023,01-01-2023,1825
2024,MAKAH,MK,15,13,5,10,5,0,0,6.022,0,6.022,1825,,,1825
2025,MAKAH,MK,15,13,5,10,5,0,0,6.022,0,6.022,1825,,,1825
2023,MARYLAND,MD,300,65,65,235,65,0,60,20.086,4,31.471,26377,05-29-2023,08-13-2023,19699
2024,MARYLAND,MD,300,65,65,235,65,0,60,20.086,4,31.703,26929,05-27-2024,09-02-2024,20251
2025,MARYLAND,MD,300,65,65,235,65,0,60,20.086,0,31.703,26929,,,20251
2023,MASSACHUSETTS,MA,909,577,567,342,567,0,121,151.778,0,237.661,93044,05-29-2023,09-05-2023,56235
2024,MASSACHUSETTS,MA,909,577,567,342,567,0,121,151.578,0,237.461,93606,05-25-2024,09-02-2024,56797
2025,MASSACHUSETTS,MA,909,577,567,342,567,0,121,151.578,0,237.461,93606,,,56797
2023,MICHIGAN,MI,1065,598,582,483,203,379,27,446.76,0,124.407,127786,05-01-2023,08-04-2023,62525
2024,MICHIGAN,MI,1065,598,582,483,197,385,27,429.224,0,126.081,127379,05-01-2024,07-30-2024,62118
2025,MICHIGAN,MI,1065,598,582,483,197,385,27,429.224,0,126.081,127379,,,62118
2023,MINNESOTA,MN,83,82,38,45,38,0,0,31.77,4,31.96,3670,06-05-2023,06-05-2023,3330
2024,MINNESOTA,MN,83,82,40,43,40,0,0,32.17,2,32.36,3971,05-29-2024,05-29-2024,3789
2025,MINNESOTA,MN,83,82,39,44,39,0,0,31.81,3,32,3735,05-27-2025,05-27-2025,3735
2023,MISSISSIPPI,MS,25,21,21,4,21,0,4,34.5,0,46.2,5292,04-01-2023,10-31-2023,4473
2024,MISSISSIPPI,MS,25,21,21,4,21,0,4,34.5,0,46.2,5292,04-01-2024,10-31-2024,4473
2025,MISSISSIPPI,MS,25,21,21,4,21,0,4,34.5,0,46.2,5292,,,4473
2023,NEW HAMPSHIRE,NH,352,16,16,336,16,0,329,8.752,0,8.759,34108,,,1568
2024,NEW HAMPSHIRE,NH,352,16,16,336,16,0,329,8.752,0,8.759,34108,,,1568
2025,NEW HAMPSHIRE,NH,352,16,16,336,16,0,329,8.752,0,8.759,34108,,,1568
2023,NEW JERSEY,NJ,1517,454,401,1116,214,187,22,128.733,0,14.348,130136,05-15-2023,05-15-2023,24061
2024,NEW JERSEY,NJ,1517,455,401,1116,216,185,22,129.152,0,15.104,152364,05-25-2024,09-02-2024,41095
2025,NEW JERSEY,NJ,1517,455,401,1116,216,185,22,129.152,0,15.104,152364,,,41095
2023,NEW YORK,NY,528,353,326,202,326,0,17,113.201,28,134.281,47148.5,01-01-2023,01-01-2023,32205
2024,NEW YORK,NY,528,353,353,175,327,26,6,122.544,26,134.461,47189.5,01-01-2024,01-01-2024,32246
2025,NEW YORK,NY,528,353,353,175,327,26,6,122.544,0,134.461,47189.5,,,32246
2023,NORTH CAROLINA,NC,352,214,213,139,213,0,97,334.844,0,410.545,73400,04-01-2023,11-01-2023,48148
2024,NORTH CAROLINA,NC,352,222,221,131,221,0,97,344.219,0,419.625,75104,04-01-2024,10-31-2024,49852
2025,NORTH CAROLINA,NC,352,222,221,131,221,0,97,344.219,0,419.625,75104,,,49852
2023,NORTHERN MARIANA ISLANDS,MP,87,87,83,4,83,0,0,32.135,0,32.135,31755,01-01-2023,12-31-2023,30295
2024,NORTHERN MARIANA ISLANDS,MP,87,87,84,3,83,1,0,32.285,0,32.229,31390,01-01-2024,12-31-2024,30295
2025,NORTHERN MARIANA ISLANDS,MP,87,87,85,2,83,2,0,32.164,0,31.814,31755,01-01-2025,12-31-2025,31025
2023,OHIO,OH,96,75,71,25,71,0,16,41.005,0,47.878,9296,05-15-2023,08-31-2023,7608
2024,OHIO,OH,96,80,76,20,76,0,16,42.57,0,49.359,9956,05-20-2024,08-30-2024,8268
2025,OHIO,OH,96,80,76,20,72,4,16,42.57,0,48.13,9704,05-19-2025,08-01-2025,8016
2023,OREGON,OR,100,89,20,80,20,0,0,25.77,0,25.77,2600,05-23-2023,09-30-2023,2600
2024,OREGON,OR,100,89,23,77,23,0,0,28.33,0,28.33,3059,05-20-2024,09-30-2024,3059
2025,OREGON,OR,100,89,23,77,23,0,0,28.33,0,28.33,3059,,,3059
2023,PENNSYLVANIA,PA,17,13,8,9,7,1,1,1.77,0,1.92,1639,05-30-2023,08-28-2023,794
2024,PENNSYLVANIA,PA,17,13,10,7,9,1,1,3,2,2.19,1778,05-20-2024,09-02-2024,1078
2025,PENNSYLVANIA,PA,17,13,10,7,9,1,1,3,0,2.19,1778,,,1078
2023,PUERTO RICO,PR,51,35,35,16,35,0,2,16.111,0,17.409,18545,01-01-2023,12-31-2023,12775
2024,PUERTO RICO,PR,51,35,35,16,35,0,2,16.111,0,17.409,18545,01-01-2024,12-31-2024,12775
2025,PUERTO RICO,PR,51,35,35,16,35,0,2,16.111,0,17.409,18545,,,12775
2023,RHODE ISLAND,RI,301,82,69,232,69,0,37,24.12,0,24.21,10516,06-01-2023,06-01-2023,6256
2024,RHODE ISLAND,RI,301,82,67,234,67,0,38,22.81,0,24.21,10516,06-01-2024,06-01-2024,6164
2025,RHODE ISLAND,RI,301,82,67,234,67,0,38,22.81,0,24.21,10516,,,6164
2023,SOUTH CAROLINA,SC,299,21,21,278,21,0,1,90.95,0,105.3,44925,05-01-2023,10-01-2023,3672
2024,SOUTH CAROLINA,SC,299,21,21,278,21,0,1,90.95,0,105.3,44925,05-01-2024,10-01-2024,3672
2025,SOUTH CAROLINA,SC,299,21,21,278,21,0,1,90.95,0,105.3,44925,,,3672
2023,SWINOMISH TRIBE,ST,6,6,6,0,6,0,0,1.564,0,1.564,546,06-01-2023,08-31-2023,546
2024,SWINOMISH TRIBE,ST,6,6,6,0,6,0,0,1.564,0,1.564,546,06-01-2024,08-31-2024,546
2025,SWINOMISH TRIBE,ST,6,6,6,0,6,0,0,1.564,0,1.564,546,,,546
2023,TEXAS,TX,170,168,168,2,168,0,0,331.85,0,331.85,62050,01-01-2023,12-31-2023,61320
2024,TEXAS,TX,170,168,168,2,61,107,0,331.85,0,153.82,62050,01-01-2024,12-31-2024,61320
2025,TEXAS,TX,170,168,168,2,61,107,0,331.85,0,153.82,62050,,,61320
2023,VIRGIN ISLANDS,VI,46,45,44,2,44,0,1,2.994,0,7.994,16785,,,16060
2024,VIRGIN ISLANDS,VI,46,45,44,2,44,0,1,2.994,0,7.994,16785,,,16060
2025,VIRGIN ISLANDS,VI,46,45,44,2,44,0,1,2.994,0,7.994,16785,,,16060
2023,VIRGINIA,VA,62,46,46,16,46,0,9,35.975,0,56.897,7045,05-16-2023,08-29-2023,5695
2024,VIRGINIA,VA,62,46,46,16,46,0,9,35.975,0,56.897,6741,05-14-2024,08-27-2024,5391
2025,VIRGINIA,VA,62,46,46,16,46,0,9,35.975,0,56.897,6744,05-14-2024,08-27-2024,5394
2023,WASHINGTON,WA,1583,1228,75,1508,62,13,2,57.38,0,51.328,148622,01-01-2023,01-01-2023,8190
2024,WASHINGTON,WA,1583,1228,75,1508,62,13,2,57.38,0,51.328,148622,,,8190
2025,WASHINGTON,WA,1583,1228,75,1508,62,13,2,57.38,0,51.328,148622,,,8190
2023,WISCONSIN,WI,220,195,107,113,107,0,12,35.522,10,40.223,12839,05-26-2023,05-26-2023,10905
2024,WISCONSIN,WI,220,196,120,100,120,0,12,36.436,10,40.795,14170,05-24-2024,05-24-2024,12236
2025,WISCONSIN,WI,220,196,120,100,120,0,12,36.436,0,40.795,14170,,,12236
