Year,Jursidiction,Beach ID,Beach Name,County,WaterbodyName,WaterbodyType,IsBeach ActBeach?,Tier,IsHistorical?,BeachLength (MI),IsDormant?,BeachAccess,BeachOwner,# ofdays inSwimSeason (SS),# ofhours inSSDay,SSStartDate,SSEndDate,SSMonitoringFrequency,MonitoringReportingFrequency[to EPA],AdvisoryReportingFrequency[to EPA],# ofActions,EarliestActionDate,LatestActionDate,# ofactions ofLT 1 dayduration,# ofactions of1 to LT 2 daysduration,# ofactions of2 to LT 3 daysduration,# ofactions of3 to LT 8 daysduration,# ofactions of8 to 30 daysduration,# ofactions ofGT 30 daysduration
2023,AL,AL854232,CAMP BECKWITH,BALDWIN,Gulf of America,"Sound, Bay, or Inlet",Y,1,N,.36,N,Public,Private,152,24,05-01-2023,09-30-2023,8 per-month,1 per-year,1 per-year,1,22-JUN-2023 12:00AM,23-JUN-2023 12:00AM,,1,,,,
2023,AL,AL432101,ESCAMBIA AVENUE,BALDWIN,Gulf of America,"Sound, Bay, or Inlet",Y,3,N,.01,N,Public,Public,152,24,05-01-2023,09-30-2023,2 per-month,1 per-year,1 per-year,1,30-JUN-2023 12:00AM,06-JUL-2023 12:00AM,,,,1,,
2023,AL,AL261419,KEE AVENUE,BALDWIN,Gulf of America,"Sound, Bay, or Inlet",Y,2,N,.04,N,Public,Public,152,24,05-01-2023,09-30-2023,4 per-month,1 per-year,1 per-year,1,16-FEB-2023 12:00AM,17-FEB-2023 12:00AM,,1,,,,
2023,AL,AL112942,MARY ANN NELSON BEACH,BALDWIN,Gulf of America,"Sound, Bay, or Inlet",Y,3,N,.18,N,Public,Public,152,24,05-01-2023,09-30-2023,2 per-month,1 per-year,1 per-year,4,12-JAN-2023 12:00AM,11-OCT-2023 12:00AM,,1,,3,,
2023,AL,AL304641,PIRATE'S COVE,BALDWIN,Gulf of America,"Sound, Bay, or Inlet",Y,1,N,.08,N,Public,Private,152,24,05-01-2023,09-30-2023,4 per-month,1 per-year,1 per-year,3,16-JUN-2023 12:00AM,26-SEP-2023 12:00AM,,,,3,,
2023,AL,AL890020,SPANISH COVE,BALDWIN,Gulf of America,"Sound, Bay, or Inlet",Y,2,N,.06,N,Public,Private,152,24,05-01-2023,09-30-2023,4 per-month,1 per-year,1 per-year,1,14-JUL-2023 12:00AM,19-JUL-2023 12:00AM,,,,1,,
2023,AL,AL574749,"DOG RIVER, ALBA CLUB",MOBILE,Gulf of America,"Sound, Bay, or Inlet",Y,2,N,.25,N,Public,Public,152,24,05-01-2023,09-30-2023,4 per-month,1 per-year,1 per-year,2,22-JUN-2023 12:00AM,07-DEC-2023 12:00AM,,2,,,,
2023,AL,AL197202,FOWL RIVER @ HW 193,MOBILE,Gulf of America,"Sound, Bay, or Inlet",Y,2,N,.25,N,Public,Public,152,24,05-01-2023,09-30-2023,4 per-month,1 per-year,1 per-year,3,16-MAR-2023 12:00AM,08-DEC-2023 12:00AM,,2,1,,,
2023,AS,AS809354,$2 BEACH,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,4,19-JUL-2023 12:00AM,24-OCT-2023 12:00AM,,,,4,,
2023,AS,AS957162,AFONO,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,25,04-JAN-2023 12:00AM,19-DEC-2023 12:00AM,,,,24,1,
2023,AS,AS993836,AGANOA,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,2,01-FEB-2023 12:00AM,18-APR-2023 12:00AM,,,,2,,
2023,AS,AS994014,ALAO,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,3,01-FEB-2023 12:00AM,24-OCT-2023 12:00AM,,,,3,,
2023,AS,AS631633,ALEGA BEACH,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,16,04-JAN-2023 12:00AM,14-NOV-2023 12:00AM,,,,16,,
2023,AS,AS862687,ALEGA STREAM,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,31,04-JAN-2023 12:00AM,19-DEC-2023 12:00AM,,,,31,,
2023,AS,AS126059,ALOFAU,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,8,04-JAN-2023 12:00AM,14-NOV-2023 12:00AM,,,,8,,
2023,AS,AS889730,AMOULI,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,2,01-FEB-2023 12:00AM,24-OCT-2023 12:00AM,,,,2,,
2023,AS,AS620986,AOA,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,7,04-JAN-2023 12:00AM,24-OCT-2023 12:00AM,,,,7,,
2023,AS,AS270935,AUA STREAM,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,24,04-JAN-2023 12:00AM,19-DEC-2023 12:00AM,,,,24,,
2023,AS,AS312946,AUASI HARBOR,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,6,01-FEB-2023 12:00AM,19-SEP-2023 12:00AM,,,,6,,
2023,AS,AS902434,AUTO,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,14,18-JAN-2023 12:00AM,19-DEC-2023 12:00AM,,,,14,,
2023,AS,AS232823,AVAU,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,9,25-JAN-2023 12:00AM,05-DEC-2023 12:00AM,,,,9,,
2023,AS,AS586320,COCONUT POINT,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,13,04-JAN-2023 12:00AM,05-DEC-2023 12:00AM,,,,13,,
2023,AS,AS611621,EASTERN UTUMEA,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,3,01-FEB-2023 12:00AM,18-APR-2023 12:00AM,,,,3,,
2023,AS,AS253628,FAGAALU,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,9,11-JAN-2023 12:00AM,24-OCT-2023 12:00AM,,,,9,,
2023,AS,AS258543,FAGAITUA,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,14,11-JAN-2023 12:00AM,19-DEC-2023 12:00AM,,,,14,,
2023,AS,AS542840,FAGASA-FAGALEA,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,20,04-JAN-2023 12:00AM,19-SEP-2023 12:00AM,,,,20,,
2023,AS,AS341150,FAGASA-FAGATELE,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,23,04-JAN-2023 12:00AM,21-NOV-2023 12:00AM,,,,23,,
2023,AS,AS178462,FAGATOGO,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,17,04-JAN-2023 12:00AM,05-DEC-2023 12:00AM,,,,17,,
2023,AS,AS136161,FATUMAFUTI,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,5,01-FEB-2023 12:00AM,05-DEC-2023 12:00AM,,,,5,,
2023,AS,AS173523,GATAIVAI,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,7,11-JAN-2023 12:00AM,05-DEC-2023 12:00AM,,,,7,,
2023,AS,AS507491,LAULII,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,15,04-JAN-2023 12:00AM,19-SEP-2023 12:00AM,,,,15,,
2023,AS,AS654284,MASAUSI,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,10,11-JAN-2023 12:00AM,24-OCT-2023 12:00AM,,,,10,,
2023,AS,AS390419,MASEFAU,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,10,11-JAN-2023 12:00AM,03-OCT-2023 12:00AM,,,,10,,
2023,AS,AS315489,ONENOA,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,13,04-JAN-2023 12:00AM,26-DEC-2023 12:00AM,,,,13,,
2023,AS,AS588812,PALA LAGOON,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,10,04-JAN-2023 12:00AM,08-AUG-2023 12:00AM,,,,10,,
2023,AS,AS854169,PALA LAGOON SPRING,EASTERN DISTRICT,Pacific Ocean,Open Coast,Y,1,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,8,22-FEB-2023 12:00AM,05-SEP-2023 12:00AM,,,,8,,
